label	tweet
n	@CSU @name Dafür ist es wohl zu spät.
n	"@CSU @name Glaube mit ""Willkommen"" ist langsam mehr als genug."
n	"@CSU @name Hey, vielleicht bauen eure importierten ""Fachkräfte"" ja ein paar Lehmhütten."
n	@CSU @name Hmmm, im Bundestag hat man das anders gesehen und sich erstmal selbst bedient.
n	@CSU @name Ich heiße niemand willkommen. Ich bin lieber unter Deutschen. Wir brauchen auch niemanden. Wir lösen alle Probleme alleine.
n	@CSU @name Wenn ihr alle so tapfere Recken seid, wie euer #Seehofer, dann braucht sich ja niemand zu fürchten.
n	@CSU @name Wenn ihr an der Seite von Merkel kämpft, steht ihr schon mal auf der falschen Seite.
n	@CSU Ach guck. Merkels Fußabtreter.
n	@CSU Hunderttausenden Versorgungssuchenden gefällt das.
n	@CSU Ihr habt sie doch nicht alle.
p	"@CSU Ihr seit willenlose Merkel-Jubelzäpfchen.
Hoffe die Wähler bestrafen eure Arschkriecherei. Versager!"
n	"@CSU Ja, das ""bildet"" ihr euch ein."
n	@HeikoMaas Eine dt. Bekannte, d. ja wie wir mit d. Thema Holocaust aufgewachsen ist, hat vor 5 Jahren Palästinenser geheiratet. Mittlerweile ist sie genauso judenfeindlich wie er. Und er arbeitet im Auftrag d. LK sogar mit jungen Flüchtlingen. Was, gauben Sie, bringt er d. Jugendlichen bei?
n	@Joerg_Meuthen @news Aber man hat doch überall Poller aufgestellt und Armbändchen verteilt 😂😂😂😂😂😂😂😂
n	"@name
Hallo, Dein Hund gefällt mir, besonders wie elegant er auf die ANTIFANTEN Flagge kackt! http://"
n	"@name ""Frisöse"" steht im politisch schwerkorrekten Deutschland übrigens auch auf dem Index. Warum auch immer."
n	"@name ""Völkisch"" ist heute jeder, der an dieser Definition von ""Volk"" festhält: »Gemeinschaft,
Großgruppe von Menschen gleicher Abstammung, Sprache und Kultur"" (dwds.de)"
n	@name #Einzelfall...psychisch krank...hat nix mit irgendwas zu tun!
n	@name #Merkel kotzt ihre üblichen Allgemeinplätzchen aus. Vielleicht sollte man die Alte mal daran erinnern, dass sie 12 Jahre Zeit gehabt hat.
p	@name #Rapefugees sei dank!
n	"@name #Schnappatmung bei den #Buntmenschen...? 😱😱😱
""Die Beamten sollen dieses Jahr offensiv einschreiten dürfen"""
n	@name *Weltoffen!
n	@name ... selber denkst. Bitte ohne ARD ZDF und-Gott bewahre WDR...
n	@name 100% Gewinn angesagt😂👍
n	"@name 20 Minuten und 20k von einem, der soviel verdient?
Und zufällig dreht er nebenan, was sicher in jedem Artikel erwähnt wird.
Schweiger bleibt ein Schwätzer."
n	"@name 80 er Jahre: Ich (Wessi) boykottierte die Volkszählung.

Jetzt: I - Phone, Internet, Taxi Fahrer beobachten mich.

Obwohl... - ist das zu meinem Schutz?
Mal gucken was ARD und ZDF dazu meinen 😇"
n	@name 87,4% haben auch nur alte Scheiße gewählt.
n	@name @AfD Ne, nur Papierverschwendung.
n	"@name @CDU @CSU @spdde @Die_Gruenen @name @Ralf_Stegner @MartinSchulz @name @name @name @name @peter_simone @name So kann nur in ausgelatschten Demokratie passieren. Jeder Verbrecher hat extra Portion Schutz und es gibt genug geldgieriger Verteidiger.
Bürger Schutz steht ganz Ende der Gesetze."
n	@name @CDU @spdde Weiter so immer wieder einstellen da Video darf nicht sterben . Einfach immer wieder posten egal wo es soll ein Zeichen des Aufstandes werden
n	@name @CSU @name Der Unterschied ist auch: Die #AfD meint es ernst, die #CSU mit #Merkel-Maskottchen #Seehofer hatte 2 Jahre Zeit was dagegen zu unternehmen! Nichts passiert!! Halten die Wähler für dumm, aber nächstes Jahr gibts die Quittung! Verlogenen + unwählbar!
n	@name @Die_Gruenen Die AfD sollte endlich den Fackelzug machen den schon manche am Wahlabend gesehen haben. 😂😂
hs	"@name @HeikoMaas @Ralf_Stegner @news @news @name Dieser Neger muss sofort entmannt werden 😠
Aber nicht das sondern dass ich Neger geschrieben habe ist jetzt der Skandal 😝😝😝"
n	@name @HeikoMaas Es ist unfassbar was hier abgeht 10 x 30 Tage Sperrung 2017 ! Volksverhetzung !! Nennen sie das !!
n	@name @HeikoMaas Solche Reden müssen den Altparteien wie Science Fiction vor kommen. Darum können sie auch nur bei jeder Rede eines AFD Mitglieds dazwischen pöpeln mit hilflosen Gelächter und lautem Gekreische. Na ja was anderes ist auch nicht zu erwarten von einer Gehirnlosen Masse. AFD for ever
n	"@name @name ""Rasse, die man hat, nicht eine Rasse, zu der man gehört. Das eine ist Ethos, das andere Zoologie."""
n	"@name @name #Heimat bedeutet für mich, dass ich nicht mehr Araber und Maximalpigmentierte in deutschen Dörfern und Städten sehe als Einheimische.
So, nun könnt ihr eure Propaganda starten!"
n	@name @name ... hier atmet die deutsche Seele noch. Hier sind wir unter uns. Ich ertrage diese Ausländer nicht. Ich kann ihre Stimmen, ihr gebrochenes Deutsch einfach nicht mehr hören. Sollte es hier mehr werden kaufe ich mir einen Gutshof in Mecklenburg Vorpommern.
n	@name @name @Die_Gruenen Aber die erste Strophe damit die Antifa in Schockstarre fällt.
n	@name @name @Die_Gruenen Bei 6 Follower kannst du ja noch nicht allzu viele gelesen haben. Oder ist das dein Account zum Provozieren???
n	@name @name @Die_Gruenen Getroffener Hund bellt.
n	@name @name @name ... gibt es ein Gerichtsverfahren zu Ungunsten der Bürger.
n	"@name @name @name 1. ""Cuck"" nicht Chuck und das ist ne politische Aussage
2. Ich bin leidenschaftlicher Österreicher und das mit Recht. Ein Vergleich Bonn zu Wien reicht."
n	@name @name @name @Die_Gruenen Aber du linke Zecke fängst an zu nerven. Und Tschüss.
n	@name @name @name @Die_Gruenen Die sind echt nervig. Provozieren, labern nur Scheisse. Sachliche Auseinandersetzung nicht möglich. Wollen die wahrscheinlich auch nicht.
n	@name @name @name @Die_Gruenen Ja. Einfach nervig diese Typen.
n	@name @name @name @Die_Gruenen 😂😂😂Opi , der war gut.
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Nun ist auch raus, warum die NATO nach Auflösung des Warschauer Paktes sich NICHT auflöste, im Gegenteil, Polen un baltische Staaten wurden neue NATO Mitglieder, vor Putins Haustüre Großmanöver abhalten!
Wenn Putin das in Mexico nahe USA sich leisten würde, gäbe es Ärger?!"
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Wenn Verbrecher NATO Europa / Deutschland von bösen Russen schützen vorgehabt hätte, hätte der Mauer rechtzeitig verhindert.
USA hat nur geschaut.
Ich bin a Berliner sagte Amerikaner, ob er in einem Zuckerindustrie Konferenz Rede halten würde. Der Depp!"
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name ALLE MAL HER-und REINHÖREN!
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Bekannt, dass in ISRAEL eine Regierung NETANJAHU regiert, die verglichen mit unseren Demokratie Verständndnis einer extrem rechten dazu die ultraorthodoxe Schas der europäischen NPD nahe stehen könnte!
Netanjahu führt extrem rechte Koalitionsregierung
http://"
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Bevor Sie mit Judenstern markiert worden, die Juden auf ganze Welt gegen Deutschland Krieg angesagt.
Schon mal Verteidigung gehört?
Für Gaskammer Experte USA war kein Problem Double nachzubauen.
http://"
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Eine steht fest, Europa so oder so vernichtet, leider👿
Die Frage ist, ob durch Islamisten oder Zionisten?
Zur Zeit gegen sichtbaren Islam Gewalt, stimmen sich einige europäischer Länder für juden.
Wieso kapiert man nicht beide genauso gefährlich sind?"
p	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Heute geht Juden in Deutschland auch gut, weil ihre Hintern nicht verkohlt wird. Die führen wieder hinterhältiges Spielchen mit Deutschland, diesmal durch Islam Vernichtung angesagt.
Durch Gesetze werden Juden unterstützt, nicht mal wissenschaftliche Beweise wird zugelassen."
	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Juden sind weltbekannte Rassisten selbst. Aus dem nichts Lügen über Lügen aus Jahwe(!) erwählten Juden/ Israelis entstanden.
Komischerweise, 1. Du sollst nicht töten (10 Gebote) verleiht Judengott unbedingt an einer Mörder namens Moses(!).
Lächerlicher geht es wirklich nicht!"
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Konzentrationslager KZ bezeichnete in verschiedenen Epochen verschiedener Länder mehrere Arten von Sammel-, Internierungs- und Arbeitslagern.  Sammellager für Kriegsgefangene, Strafgefangenen- und Strafarbeitslager waren schon längere Zeit verbreitet!
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name NETANJAHUS VERBRECHEN am Palistinänsichen Volk, dem 1948 Juden völkerrechtswidrig große Teile ihres Landes mit Gewalt abnahmen, Staat Israel zu gründen, seitdem werden die Ur-Einwohner / Besitzer wie im KZ gehalten, kein Gas aber ermordet mit Bomben!
http://"
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Russischer Propaganda, in Osten schön fleißig gearbeitet. Gegen Westen kalte Krieg durchgeführt. Anlagen von Nazis übernommen und gleiche System an Deutschen geübt.
Kriegsverbrechen gilt ja nur für Nazi Deutschland!!!"
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Wir Deutsche, die NSDAP hat Juden mit einem Stern markiert, sie eingesperrt, selektiert und vergast/ erschossen das ist nun mal Fakt als Holocaust
Wir haben Nachkriegsdeutschland in dritter, vierter Generation, wie lange sollen wir noch als Schuldige niederknien und ZAHLEN?"
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name In Indien kommt noch je Haushalt zum Dalit noch ein heilige Kuh dazu oder so? http://
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Meinst Du?
Wenn erst einmal 43 GRÜNE schon vors STRAFGERICHT in DEN HAAG antreten müssten, TRITTIN als KRIEGS-DIENST-VERWEIGERER DOPPELT BESTRAFT, statt 10 Jahre 20 Jahre KNAST, wäre RUHE im Bundestag? http://"
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Schreiben könnte vom NSDAP Göbbels Propaganda Ministerium abgeschrieben worden sein oder sogar das Orginal übernommen?
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Dann schalte das Gespräch auf stumm,kann doch nicht so schwer sein.
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Du kannst @name nicht folgen und die Tweets von @name nicht ansehen, da Du blockiert wurdest.
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Ganz genau.
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Wenn der Vollpfosten diskutieren wollte würde er wohl keine Leute blockieren, die nie mit ihm zu tun hatten, oder?
Ist mir im Grunde auch egal, aber deswegen fehlt mir ein Teil der Unterhaltung hier."
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Da habe ich eine ganze Latte aufzuführen, mit denen ich bei Twitter NIE schreibkontakt hatte, die aber blockieren aus Angst oder warum?
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Das ist zwar sehr nett,aber Gabriel glaube ich kein Wort. Null! Und Stoiber hat nichts mehr zu melden.
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Diese AUGEN.....ROTH mit VOLLSCHLEIER demnächst als Sitzungspräsidentin im Deutschen Bundestag?
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Gemeint sind jene Ex CDU Wähler / Wählerinnen die gewechselt haben, ob und wieviele Mitglieder der CDU nicht bekannt!
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Ich glaube selbst wenn sie Merkel loswerden wird sich die CDU nicht mehr erholen. Die hat ja alle konservativen Strukturen zerschlagen und alle fähigen Leute durch Kriecher ersetzt.
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Kohl war genau so schlimm.
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Mittwoch abend bei ILLNER waren GABRIEL und STOIBER Gäste, und voen denen hörte ich erstmals Töne, indem sie zugaben Flüchtlinge bevorzugen, die Einheimischen 82 Mio. würden vernachlässigt als größten Fehler zu sehen, Volk nicht informierten was BESSER gemacht werden MÜSSTE!
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name OHNE Merkel ist die CDU SOFORT KOPFLOS, hat ihr Aushängeschild ANGELA die SCHAFFT was, verloren! Der Machtkampf der Nachfolge wird grausamer als bei der CSU werden!
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Sehe ich auch so! Nun soll SÖDER, ein FRANKE, Nachfolger Seehofers als MinPräses werden, ob das klappt?
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Wer ist eigentlich @name? Und warum blockiert mich der Vollpfosten? Weil sein Teil fehlt ergibt die Unterhaltung auch keinen Sinn.
n	"@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Wie wäre es mit Toleranz gegenüber politisch andersdenkende Alternative?
Offensichtlich haben etablierte GroKo OHNE Opposition die Alternative verschlafen, den Bürgern/ Bürgerinnen das auch klar zumachen, dass nix tun KEINE ALTERNATIVE ersetzen kann?"
p	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Wetten, dass ein NOTGEILER MUSEL-KERL nur gierig auf den SLIP starrt und das Schwein vergewaltigt?
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Wünsche ich Dir auch 🎅🎄
n	@name @name @name @name @name @name @name @name @name @name @name @name @name @name @name @name Obamas Vater, Barack Hussein Obama Senior (1936–1982), stammte aus Nyang’oma Kogelo/Kenia und gehörte der Ethnie der Luo an. Obamas Mutter, Stanley Ann Dunham (1942–1995), stammte aus Wichita, Kansas (USA), und hatte irische, britische,[3] deutsche[4] und Schweizer Vorfahren.
p	"@name @name @name @name @name @name @name @name @news @news @name @news @news #Böhmermann Bengel bekommt jetzt so richtigen Ärger und zwar von ERDOGAN seinen, in Deutschland lebenden ""Osmanen-Rocker"", die BÖHMER-BENGEL
wegen Erdogan-Schmähung im Visier ihrer Kalaschnikow haben!
http://"
n	@name @name @name @name @name @name @name Lecker 👌 Guten Appetit!
n	@name @name @name @name @name Alles gut 👍 Ich verstehe es. Ich habe auch Probleme alles zu beantworten. Ich schaffe es seit Wochen schon nicht mehr!
n	@name @name @name @name @name Danke schön 🙋 Peter. Super 👍 Auch Dir ein schönes Wochenende!🎅
n	@name @name @name @name @name Es gibt Bauern,die züchten wieder die alten Rassen.
n	@name @name @name @name @name Es gibt bei Twitter eine tolle Funktion! Einfach nicht lesen und nicht kommentieren! Bitte gerne!
n	@name @name @name @name @name Es war nur meine Antwort auf Eure Kommentare.
n	@name @name @name @name @name Habt Ihr nicht selbst genug in Deutschland damit zu tun? Und da geht es um lachhafte Accounts die zensiert werden,die noch nicht einmal in die Politik eingreifen? Ich denke schon,oder?
n	@name @name @name @name @name Keiner der 4 auf dem Bild war jemals in Afghanistan und hat sich selbst ein Bild vor Ort gemacht. Finde den Fehler!
n	@name @name @name @name @name NICHT wenn es wichtige Politik untergraben will,und denunziert.
n	@name @name @name @name @name Was heißt hier Kaffeesatz. Da geht es um politische Accounts,nicht um kleine Kinder. Das ist ein ganz anderes Thema. Das ist nicht Twitter Kindergarten.
n	@name @name @name @name Ach Leute,mir geht es heute bei Euch so richtig gut! 💞
n	@name @name @name @name Anpacken,nicht reden! Ende!
n	@name @name @name @name Dagegen hilft nur eine andere Politik. Allerdings ist derzeit eine Dynamik in der EU die einiges ermöglichen könnte. Schaun wir mal, wie die Entwicklung in Österreich weitergeht.
n	@name @name @name @name Die die SPD, die Grünen, FDP und Linken gewählt haben sind auch nicht besser.
n	@name @name @name @name Ein bißchen mehr Selbstvertrauen! Das geht in Russland auch. Meine Güte ,Ihr seid ein Land voller Schiesser!
n	@name @name @name @name Gerd Froebe?
n	@name @name @name @name Hach😍 zu schön!
n	@name @name @name @name Ich denke die Sache ist noch nicht weit genug fortgeschritten, da fehlt noch etwas mehr Einwanderung. Noch sind viele zu Passiv weil sie höchstens beim einkaufen die Migranten sehen, aber Zuhause ist noch alles Ok.Aber der Tag kommt an dem Widerstand ausbricht! #AfD #MerkelPlan
n	@name @name @name @name In Schweden und Finnland gibt's Bürgerwehren.
n	@name @name @name @name Sorry,ich bin einfach müde!😅😅
n	"@name @name @name @name War ja zu erwarten.
Stellt man die falschen Fragen, gibt es eben keine Antwort.
Genau wie beim @name.
Meine Frage nach der Zahl der christlichen Migranten ist ebenfalls noch offen.
Aber hey, keine Antwort ist auch ne Antwort:
Unwissenheit, Dummheit oder Kriminalität. 😞😠"
n	"@name @name @name @name Weil ich deiner absurden Ethnophobie nicht zustimme und deine Reflexartigen Nazivorwürfe beim Wort ""Homogenität"" als solche erkenne und kritisiere?"
n	"@name @name @name @name Wenn man sich einmal die #Geburtenrate der #Migranten aus arab.islam.Kulturkreis anschaut und das mal hochrechnet, dann wird der Bevölkerungsteil der arab.Migranten explod.,wie auch die #Sozialsysteme!Das muss vielen D noch klar werden!

#AfD #AfDimBundestag #AfDMeineWahl"
p	@name @name @name @name WIE LANGE NOCH MÜSSEN WIR 82 Mio. Deutsche ES ERTRAGEN für SOLCHE IDIOTEN den AUFENTHALT hier zu BEZAHLEN, dafür noch halb tot geschlagen zu werden?
n	@name @name @name @news @AfD @name Sie werden an Zustimmung in der Bevölkerung gewinnen. Eine Partei die Fakten & Zahlen klar auf den Punkt bringt! Weiter so #AFD!
n	@name @name @name @news Dass sich das Zweite Fernsehen für solch einen Dreck begeistern kann verwundert nicht, bringt man es dort bis heute nicht über die Lippen bringt, die Täter klar zu benennen.
n	@name @name @name @polizei @name @name @name Irgendwas stimmt mir diesem Account auch nicht. Sagt mir mein Gefühl.
n	@name @name @name Abgelehnt weil es von der AFD kommt 😓🇮🇱
n	@name @name @name Bravo 🙋 Respekt! Danke für diesen Tweet!
n	@name @name @name Da lebt immer noch jede Menge von der Mischpoke.
p	@name @name @name Da schauen wir mal.... seit euch da mal nicht so sicher! Ich gehe davon aus das Sie hängen wird!
n	@name @name @name Danke schön 😘
n	@name @name @name Das ist der übliche, nicht belegbare, Deutsche tun das auch Vorwurf. Das letzte Argument bevor denen nichts mehr einfällt.
n	@name @name @name Das ist eine Frechheit.
n	@name @name @name Es gab mal eine EWG. Das war nicht schlecht.
n	@name @name @name Ha, sagte ich auch gerade, sinngemäß...
n	"@name @name @name Ich hätte den Begriff von mir aus ohnehin nicht verwendet. Reflektiert doch mal, worauf sich die Schlagworte ""Vielfalt"" und ""Buntheit"" und ""Multi-"" beziehen, in Worten und Taten."
n	@name @name @name Ich liebe es,wenn ein Plan funktioniert 😎
n	@name @name @name Ich verstehe Dich.
n	@name @name @name Immer herzlich Willkommen 🙋
n	@name @name @name Mal ehrlich Bernd, so wie die Vertreter von ca. sechs Mio. AfD Politiker im Deutschen Bundestag, deren Mitglieder bei Veranstaltungen, Parteitagen pervers von GRÜN-LINKEN Antifanten/ Idioten angegangen wurden /werden ist bisher einmalig in der Geschichte der BR-Deutschland!
n	@name @name @name Mit der Akzeptanz der Twitter-Regeln hast du an deinen Bildern diverse Nutzungsrechte eingeräumt. Das verstößt nicht gegen deutsches Recht.
n	@name @name @name Natürlich,Polen ist es nicht alleine. Das wäre gar nicht machbar. Heute nicht mehr.
n	@name @name @name Nein, nicht jeder. Nur die Frauen.
n	@name @name @name Nichts! Null!
n	@name @name @name Richtig 🙌
n	@name @name @name Sieht nach nem sabbernden Zellhaufen aus. Nicht nach nem Bundeskanzler.
n	@name @name @name Soweit ich weiß  ist es schon in Verhandlung.
n	@name @name @name Stimmt 🙌 lieber Franz.
n	@name @name @name Und #zdfinfo heute so: das menschliche Genom am Beispiel Neandertaler und Mongolen muss sich mischen, genetische Mutationen ermöglichen Verzehr v Milch u Getreide. Isolation a. B. Gomera lassen Bewohner aussterben. Erziehungs TV eben
n	@name @name @name Warum sagst/schreibst Du nicht gleich NAZI, weil Deine Meinung nicht getroffen wurde, Du alternative Meinungen abstempelst als unvergleichbar!? Du bist echt ein Sorgenkind! http://
n	"@name @name @name “Abgebrochenen buxen”
Beleidigend muss man sich noch werden?
Das Bild wird immer kompletter"
n	@name @name @name 🙌🙌🙌 So höret das Wort zum Sonntag!👍 👍 👍 👍 👍
n	"@name @name @news @AfD @name @fdp Ich sag nur #Lammert und #MontBlanc... 😉
Also...immer schön den Ball flach halten!"
n	@name @name @news Die 🇪🇺 sollte Merkel nahe legen zurückzutreten! Wenn es 🇩🇪 schon nicht schafft!!
n	@name @name @news In Gegensatz zu unseren Politdarstellern sind Erstklässler in ihrer Entwicklung viel weiter.🙄
n	@name @name @news Leider kein Schmarrn ich beobachte schon seit längerem das pupertierende Gören gerade aus dem Türkischen Raum auf einmal Kopftuch tragen obwohl es von den Teenis noch gar nicht verlangt wird. Nur Provokation. Ich frag solche Dummen Dinger immer ob sie Läuse haben w. . Kopftuch
n	@name @name Aber sowas von 💪
n	@name @name Absolut Deiner Meinung. Ich habe diese Frau geblockt. Widerlich. Sorry.
n	@name @name Als Kampfbegriff der Linken und Demo- und Ethnophoben muß er entwertet werden, das ist alles.
n	@name @name an den Kopf geworfen. Es war Freundschaft. Die Jungs und Mädels Türkischer Familien freuten sich sogar mehr als Christliche Kinder aufs Weihnachtsfest. Es war ein Fest der Freude und Ihr werdet es nicht glauben aber ich konnte es selbst erleben. Die Geschenke und die Freude Ihre
p	@name @name Arschlöscher machen ihre Gesetze selbst!👹
n	@name @name Auch das wird nicht helfen....
n	"@name @name Aus Menschenhand gemachte Wunderwerk ☺ Respekt 👍
So schützt man sein Land und Volk 👍👍"
n	@name @name Bin dafür!👍
n	@name @name Bin schon lange geblockt. Ist die vielbesungene Diskussionskultur.
n	@name @name Bitte? Es gibt auch in einer Großstadt tausend Möglichkeiten zu spielen! Lachhaft! Wirklich.
n	"@name @name Dabei hätten wir es in der Hand gehabt Vermittler zwischen Ost und West zu sein.
Außerdem: Russen, Polen, Ukrainer etc. sind ein unheimlich netter Menschenschlag, die hervorragend zu uns passen."
n	@name @name Dann freut euch mal auf Publicviewing 2018, ein Sommermärchen wie die vorangegangen, wirds bestimmt NICHT!
n	@name @name Dann sollten wir auch mal hingehen und denen mal mit Nachdruck erklären das sie die Frauen in Ruhe lassen sollen. Vielleicht mal einen Aufruf in einschlägigen Medien machen.
n	@name @name Darf ich den ersten Steinwurf machen ja ich nehm auch wirklich nur ein Sandkorn geziehlt ins Auge. Vielleicht sieht die kleine danach etwas besser und erkennt Ihre Fehler
n	@name @name Das denke ich auch😂!
n	@name @name Das einzige was mich nervt das der immer noch die Gender Sprache benutzt.  Das heißt die Österreicher.
n	@name @name Das habe ich auch gesagt,und sie hat mich beleidigt und geblockt.
n	"@name @name Das hängt vom semantischen Kontext ab. Im NS war das hochgradig aufgeladen und ging über das nüchterne ""ethnisch"" aus."
n	@name @name Das ist unglaublich erniedrigend für Frauen,die unter dem Koran leiden. Ich bin fassungslos. Experiment. Das geht gar nicht!
n	@name @name Das kann nicht nur, das ist auch so! Obwohl da gehört auch nicht viel dazu. Insbesondre was die dösigen Weibern der Altparteien von sich Preis geben!
n	@name @name Das mag sein aber ich habe im Frankfurter Ostend gewohnt. Multikulti in reinform. Ich hab es nicht mehr ausgehalten, das erste Wort das meine Tochter sprach war Anne türkisches Wirt für Mütter. Wir sind dann aufs Land gezogen. Kaum Ausländer. Ein Segen.....
