label	text
n	dafür gibts torpetos
n	gebt mir schnell einen  Bohrer
n	Ihr nazis..traurig
n	Die ganze Bereicherung verdanken wir nur christlich verblödeten Vollpfosten.
	Kardinal Francesco Montenegro, zu dessen sizilianischer Erzdiözese Agrigent die Flüchtlingsinsel Lampedusa zählt, appellierte an die Italiener, sich vor dem Flüchtlingsnotstand nicht zu verschließen. Ganze Bevölkerungen würden sich derzeit in Bewegung setzen, man könne nicht wegschauen.
n	Manchmal macht es eben die richtige Mischung...!!!
n	warum schleppt man dieseschiffe nicht zurück nach afrika ??
n	na vielleicht merken jetz der vielen gutis den wahren grund dieser aktionen !!! aufwachen !!!
n	Die sollte man alle wieder zurück schicken,garnicht erst in unser Land lassen..
n	Genug ist genug, wir brauchen keine Teppichbrüder !!!
n	Und die Roth ist für noch mehr Flüchtlinge lief gerade im TV alle bei Roth einziehen das ist doch eine Lösung
p	Meine fresse, labert ihr alle eine scheisse.....
n	Echt zum kotzen hier, andauernd werden meine Kommentare gelöscht
n	"sicher doch. Nur schade ist, dass es nicht jedem Deutschen möglich ist D zu verlassen. Wäre interessant wie sich diese unfägigen Politiker sich dann hinstellen um das Pack zu ""bereichern"""
n	Ich sags ja immer wieder gerne: die die am lautesten nach Toleranz schreien,  sind doch die intolerantesten. Nur rein ins Land mit dem ganzen gesocks.
n	Demnächst in Deutschlands Moschen und auf Salafistenveranstaltungen auf unseren Straßen. Ein Hoch auf unsere Politiker.
n	Schiff entern und zurück schleppen oder versenken
p	So kennt man die Musels.Ist halt ein hinterhältiges Pack.
n	tja...man konnt gestern wieder die FATIMA Roth im ZDF bewundern wie sie wieder alle leute zu NAZIS macht die nicht in der flüchtlingsfrage mit ihr einer meinung sind....die dame von der AFD hat es auf den punkt gebracht....wir haben hier in deutschland gesetze die für das ASYL zuständig sind.....da soll nun geprüft werden ob jemand politisch verfolgt wird, oder einer minderheit in seiner heimat angehört die verfolgt wird....usw....da tauchen für mich nun fragen auf :.......wer prüft denn eigentlich den wahrheitsgehalt der menschen die hier her kommen ????? der kleine scheiss beamte ?? der froh ist wenn 16.00 uhr ist ????nächte frage wäre......wozu gibt es denn über haupt die gesetze wenn sie dann nicht mal durchgesetzt werden ??????? hier in deutschlan leben offiziell  ca. 65000 menschen deren asylantrag abgelehnt wurde.....was bitte machen die dann noch hier ???????????
n	An den Haken nehmen und in den Ausgangshafen zurückschleppen !
n	Immer wenn man einen weißen Hai braucht ist keiner in der Nähe:)
n	da hilft nur eins die boote von unten anbohren. man die werden hier nicht gebraucht und nicht gewollt
n	Zurück mit denen
n	Der islam gehört unter Strafe verboten.
n	Selbst in der grössten Not, tun sich die Menschen grausames an. Pfui Teufel?????
n	Ich habe viele dieser Kommentare gelesen und muss feststellen, dass genau diese unüberlegte Aussagen die Politiker aufschreckt aber nicht zum nachdenken animiert. Man kann auch mit ausgewählten Worten, Politik beeinflussen. Mit Hass(predigten) erreicht man gerade mal das Gegenteil. Und zu Wahlen Parteidemokratoren abstrafen. Richtig wäre es, so wie Frau Petri (AfD9 zu argumentieren, dass Asylanten immer ein Übergangsbleiberecht beantragen können. Dies sind ca. 30% der Ankommenden. Und die anderen 70% sollten sofort zurückgewiesen werden. Wenn der Kommentar, Muslime warfen Christen ins Meer, der Wahrheit entspricht, sollte doch die Kirche Stellung beziehen. Aber die ist wiederum von Staatszuschüssen abhängig. Wer das Assylantenheim in Tröglitz anzündete ist ja immer noch nicht nachgewiesen, aber die Medien machen damit Stimmung und zerstören die Gesellschaft. Die eigentliche Schuldfrage für diesen Fremdenhass muss sich die Bundesregierung mit ihren Steigbügelhaltern (Landesregierungen, Landratsämter usw.) zuschreiben lassen. Die ALLE haben keinen A .....   in der Hose.
n	warum schützt die italienische Küstenwache uns nicht vor diesen Verbrechern ??? wenn die ersten 5 Boote versenkt wurden , ist esw vorbei mit diesem Spuk !!
n	Sofort an Ort und Stelle einfach versenken, wenn sich das rum spricht werden es auch nicht mehr so VIELE versuchen um nach Europa zu kommen.
p	Was ist man von Moslems anders gewöhnt.Das Pack kann mitlerweile nur noch Morden und hinterhältig Töten.
hs	Die neonazis haben schon recht mit dem was sie machen diese drecksausländer gehören vergaast man kann nicht mal mer mit seiner freundin einkaufen gehen ohne das 2dreckstürken einen am eingang dumm anmachen asozial ist sowas un der staat macht nix AUSLÄNDER RAUS!!!!!!!!!!!!!!!
n	Sobald die Muslime in der Mehrzahl sind fangen sie automatisch damit an ihren Gottesstaat zu errichten. Der Terror nimmt dann seinen Lauf.
n	Das ganze Schiff versenken die Bundeswehr sollte Jagd auf die machen und versenken
n	Na meine Güte   .Traumatisierte Kindlein halt. ?
n	Große Worte, Jugendbande zerschlagen...
n	macht mal was gegen die banden in den großstädten ihr versager drogen menschenhandel und und und
n	Scheis nazis
n	Wir wollen keine Russen hier!
n	Sind das unser  Facharbeier
n	Aber man darf ja nix sagen wirst gleich zu den rechten in die ecke gestellt .
p	ich bin nach 45 geboren und ich schulde dem rest der welt einen scheissdreck!Wenn dieses dreckspack bei mir einbrechen würde-ich würde nicht die bullen rufen-aber die-garantiert!
n	Schöne kommis, das geht runter wie ein Schweineschnitzel, weiter so...
p	@137c9c6970afb7fc was ist daran so schlimm zu den rechten gestellt zu werden also ich sage immer offen meine meinung zu diesen scheiß ausländern mir egal was die andren denken oder sagen und ich finde das sollten noch viel mehr machen sonst endert der staat nie was es gibt viel zu wenige neonazis  sagt eure meinung offen diese scheiß kanacken solln raus aus unserem land!!!!!!!
hs	Kriminelle Ausländer sollte man hinrichten! an den Eiern aufhängen,und die ganze Familie auspeitschen und ausweisen.An der Grenze solange mit einem Knüppel auf dem Kopf hauen das sie bei dem gedanken an Deutschland sich dauernt vor Angst in die Hose scheißen,
n	fürchterlich
p	Meine Eltern wohnen bei mir, zu mir können sie kommen, alle zwei Meter hab ich en Schlagring, einen Baser oder Totschläger gebunkert, die Polizei wird erst gerufen wenn die Invasoren tot sind !
n	ich möchte mein altes Deutschland wieder
p	ich würde sie finden und sehr schwer verletzen. Möglicherweise könnte ich das sogar hinkriegen, ohne selbst erwischt zu werden. Meine Eltern sind 77. Wer die anfasst, ist erledigt.
n	eines fällt mir hier auf: Niemand hat etwas von Fremdländern gesagt. Aber na ja: Zu 99,8% ist es warscheinlich, dass das keine österreichische Buben waren :-/
p	Scheiß drauf was das Grüne Gesox von mir denkt:
	Vor ein paar Tagen hat in Berlin eine Unterkunft für Kriminelle Asylbewerber gebrannt. Kriminelle Asylbewerber = doppelt nichtsnutzig, hätte man ruhig noch etwas Benzin ins Feuer gießen können.
n	...aber man darf sowas ja nicht beim Namen nennen-Herr Pleitgen hat was dagegen das die Ausländer benannt werden
p	früher wurden denen die Hände abgehackt,das waren noch Zeiten,jetzt werden diese gestreichelt
n	In einer Wirtschaftskrise macht man die Grenzen dicht.
n	Fachkräfte
n	"Alles Fachkräfte die wir so ""dringend"" brauchen Frau Merkel und das andere Gesocks"
n	Und wieso sind die noch in Deutschland,sofort abschiebung,samt Familie.Und kriegen noch Geld von Deutschland,damit sie hier klauen können,widerliches Deutschland,tut entlich was...
hs	Gleich erschiessen!
n	7 leute klauen 400 fahrräder?
n	Es gibt auch deutsche, die sowas machen leute :D
p	Für solche Wichser Täterschutz? Lachhaft!
n	ich hoffe das die Asylbeführworter mal Besuch von solchen Leuten kriegen.
hs	gleich erschiessen !
n	Facharbeiter, ganz klar !!!
p	sieht wien scheiß kosovoalbaner aus, wie auch immer sofort raus mit dem pack
n	Rumänischer Bettler.
n	Aber ohne Rückfahrkarte.
n	Ich erkenne Ihn. Der EGON War es wieder.  Hat sicher wieder mit Ralf und Klaus die Gegend unsicher gemacht?
n	8acea189036f77df, aber Deutsche sind auch Auslaender, noch dazu die groesste Einwanderungsgruppe....sagt man ??
n	kommt der aus der uckermark?
n	......   lasst diese Leute mal schwer Arbeiten (10-12 Std./Tag), um den Aufenthalt im Antragsstaat zu bezahlen, dann vergeht ihnen die Pöbelei, Schlägerei und, und, und. Vieleicht wollen Sie dann wieder nach Hause.
n	Albaner oder tschetsche die sau
	Haben wir ja genug davon
hs	Zeit diesen Islamisten das Licht aus zu knipsen.
n	lol Es gibt doch nicht nur Ausländer die mist bauen. xD :D
n	Tja, das ist Einfallsreichtum. Von den Ausländern/Migranten lernen heißt Siegen lernen.
n	NA SERVUS.  DIESE EINZELFÄLLE???
n	der menschenschrott darf alles
n	ja und unsere dicken minister waren mitglieder heidiebummsvallera
n	Da gab es dann bestimmt auch>>>>
n	Nach so langer zeit? Das kommt mir schon fragwürdig vor. Niemand hat in 8 Jahren was mitbekomm? Alles klar (wers glaubt)… Europa ist infiltriert bzw. infiziert! Das wird gerade in diesen Tagen immer deutlicher.
n	Alle raus und dann die Mauer wieder aufbauen
n	http://goo.gl/Wlc7QW  war nur ein Irrtum .... klar i schwörre
n	scheiss gsindl
n	Einen Schuss ins Knie, laufe um dein Leben!
n	Und so etwas wollen linke und grüne
hs	aufhängen,so kosten sie nur steuergeld(verschwendung)
n	Na geh, das machen die ja nur, weil sie zu wenig Unterstützung von uns erhalten. Das sind 1.sicher Menschen,  die gebildeter als wir sind und
	2.der übliche bedauerliche Einzelfall *kotz*
hs	Tod durch den Strang
p	ich sag es immer wieder raus aus deutschland mit dem dreckspack
n	Und dann fragt man mich warum ich Religion nicht leiden kann
p	Scheiß Islam
n	Wer solche Leute rein lässt und sich dann wundert, dass sie sich benehmen wie in der Heimat. Der hat die Gründe nicht verstanden, warum Organisationen wie Pegida auf die Straße gehen. Wacht endlich auf.
n	Soweit ist es jetzt gekommen ,das wir Angst im eigenen Land haben müssen,ARMES ARMes Deutschland.Raus mit dieser Bande ,die haben hier nichts verloren.
p	das pack muss tag und nacht gejagt werden,ehe sie es mit den deutschen machen !!
n	Gesindel.
p	das Dreckspack gehört sofort raus
n	solche IDIOTEN braucht doch kein schwein
n	Dieses unsägliche Islamisten pack gehört sofort abgeschoben. Wir PEGIDAner gehen nicht umsonst jede Woche auf die Straße. Diese Bückbeter haben sich ihr image selbst zu zuschreiben dafür haben die selbst über Jahrzehnte hier in Europa gesorgt. Ich sehe schon die Güterzüge rollen aber, diesmal nicht in die KZ's sondern gen nahen Osten.
n	Ihr seid einfach die Sorte von Menschen die alle in einen Sack packen man merkt innerlich in euch lebt der Adolf
n	Am besten schon gestern
p	"""Illegal"" die Wirklichkeit zu untersuchen: auf so eine perverse Unterdrückung spezialisierten sich früher besonders gut die Religioten aller Art, heute speziell noch die Moslems und unsere etablierten Politschweine in BRD und EU sowie ihre Lügenpresse."
n	Da muss ich dir Recht geben.
n	es sollten lieber die angeklagt werden, die den ganz mulm nach europa holen. ich sag ja immer die franzosen sind uns ähnlicher als man denkt, sie sind sozusagen das westlichste bundesland.
n	Wer die Wahrheit sagt, wird angeklagt
n	Habt ihr alle lust mit ein zu blasen?
n	ja, egal was wir sagen, immer werden wir als Nazis dargestellt. Ich habe einfach nur Angst und zwar große Angst vor dieser Kultur. Da treffen Welten aufeinander. Ich bin gestern an einer Gruppe von den Ausländern vorbei und die haben dumme Bemerkungen gemacht weil ich kein Kopftuch trug. Ich habe mir Pfefferspray gekauft, denn ich sehe nicht ein, dass ich mich nicht wehren darf. Wir leben NOCH in einem freien Land und ich habe ein Recht meine Meinung zu sagen.
n	bestes beispiel mein auto wurde geklaut und zu schrottgefahren
n	Postet doch mal was die deutschen kriminellen so machen . Oder wie findet ihr es mal so wen man schreiben würde ein deutscher mit christlichen Hintergründen hat dies und jenes gemacht
n	Der Rechtsverdreher der unteren 10.000 kennt sich eben aus.
p	Was wollen wir uns noch Gefallen lassen,es ist genug,es reicht,wen reden nichts bringt muß es eben anders gehen...ich will keine Asylanten mehr und schwarze kriminelle schon garnicht raus aus Deutschland mit den Pack...
n	Das sind Tausende Taliban is oder sonst wer ! Lassen sich ausbilden dann Boom ! Mann brauch kein einzigen davon in Deutschland / Europa !
n	Die richtigen Flüchtlinge lassen alles zurück und geben alles auf, um mit 100ten von anderen auf nem Boot zu treiben. Überleben: fast unmöglich.
	Denk mal jetzt nach, warum man trzd flüchten will. Du stinks ja wohl selber
hs	der gehört an die nächste Laterne geknüpft !
n	genau diese fachkräfte braucht und will unser staat
n	Na super dann müssen wir wohl auch um unsere Köpfe fürchten.
p	Na was denkt ihr wie viele von diesem Abschaum schon bei uns sind !!! Aber die Linken und Grünen sagen ja ,es sind harmlose Flüchtlinge...
n	"WAS passiert ? NICHTS!!! Denn die sogenannten "" guten Deutschen"" müssen erst diskutieren ,ob SEINE Menschewnrechte nicht verletzt werden/wurden. Dann kriegt er eine tolle Bleibe , freie Krankenversorgung , freien Busausweis, und was immer er sonst noch auf seinem WQunschzettel hat!"
n	"das ist das selbe wie damals 89´mit unserer elterngeneration. die haben auch gedacht sie bekommen im westen das goldene kalb serviert und haben alles hab und gut auf den kopf gehauen um ""rüber"" zu können wie es uns kindern damit ging und denen die sie in der zone zurückgelassen haben hat doch keine blöde sau interessiert. nur um dann festzustellen das ""hier"" auch nicht alles gold ist was glänzt"
n	ÖVP/SPÖ - Es reicht Die Grünen Österreichs - nein danke!
p	Raus mit den Drecks pack
p	Die EU holt den Terror hier her!  Sind die total bescheuert oder was??????  Weg mit den Müll!  Es reicht langsam!!!!!
n	das wird nicht der Einzige sein und bleiben
n	Steht nie in der Bildzeitung so etwas
n	und was passiert jetzt mit der ratte
n	Wir lassen die Pest ins Land
hs	Na, wie bei der IS, Kopf ab.
n	Zwischen 3.000,- und 15.000,- Euro für eine Flucht. Soviel Geld hab ich noch nie in der Hand gehabt. Damit könnte sich ein tüchtiger Mensch wie ich ÜBERALL ein neues Leben aufbauen. Auch oder gerade in Afrika! !!
n	Er wird fest genommen, verhört und dann für immer eingesperrt!!
	
	NEIN spaß XD er kommt in ein schönes Flüchtlingsquartier mit viel platz und technick,  gegenüber ist ein Kindergarten mit angrenzenden Spielplatz wo er dann immer lang gehn kann.
n	Woher nehmen die nur das Geld????
n	ins boot zurück und ab
n	Wenn ich bei einer Keuzfahrt Kabine mit Fenster und Balkon buche muß ich auch mehr bezahlen.Würde mich noch interresieren was ein Butler kostet.
n	Alle wieder zurückschicken..
n	:v  Hallo Freunde!
	
	 “Zeig mir doch, was Mohammed Neues gebracht hat, und da wirst du nur Schlechtes und Inhumanes finden wie dies, daß er vorgeschrieben hat, den Glauben, den er predigte, durch das Schwert zu verbreiten.”
	
	***
	
	"""Zeig mir doch, was Mohammed Neues gebracht hat und da wirst du nur Schlechtes und unmenschlich, wie sein Befehl, durch das Schwert zu verbreiten den Glauben, den er predigte, zu finden."""
	
	+++
	
	☩Papst Benedikt XVI☩ unter Berufung auf die Byzantinischen Christian Kaiser, dem XIV Jahrhundert, Manuel II Palaiologos, in “Aula Magna” der Universität Regensburg(Ratisbona), Deutschland, im Jahr 2006.
	
	:)  ? Lasst uns auch beten
	zur Umwandlung von
	Franziskus oder Kardinal
	Bergoglio!  ?  ;)
	
	Wie und / oder Teilen auch:
	“Genießen” und /oder  “Aktie” zu:
	
	Himmelfahrt unseres Herrn Jesus Christus. (Christi Himmelfahrt)
	https://www.facebook.com/photo.php?fbid=249737181834189&set=a.125480024259906.21621.100003937266126&type=1&theater
	
	+++
	
	Unser Herr von Bonfim
	(Ein sehr berühmter Hingabe an den Bundesstaat Bahia, Brasilien.)
	https://www.facebook.com/photo.php?fbid=494622750678963&set=a.125480024259906.21621.100003937266126&type=3&theater
	“IN HOC SIGNO VINCES!!!”
n	haben wenigstens die schlepper was davon und wenn die sich das leisten können kann es ja nicht sein das die geld von uns brauchen also merkel und co ihr müßt nur mal ganz kurz darüber nachdenken was da zu tun ist um unser steuergeld zu sparen!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
n	Wie kommt die zeitung zu solchen preisen.waren die persönlich vorort um nach zu fragen
n	Überlegt doch einmal was eine Mutter + Balg uns Steuerzahlern kostet...!
	Macht die Augen auf!!!111
n	Schlechte und maximal hetzende bericht erstattung. Noch weniger wie der journalist, haben die menschen im kopf die es glauben...
n	Schließen und die ganze Familie und Verwanten sofort Abschieben-jeder Kriminelle Ausländer,wird gleich mit der ganzen Familie Abgeschoben,so passen die ältern fieleicht auf die jüngern auf...
n	Mütter sind um einiges schlimmer!
p	ihr scheiss nazis
p	Ihr wixxer ihr nazi haltet die fresse
p	als was kann man die scheiß islamisten eigentlich bezeichnen? Restmüll oder Sondermüll!!!!!!!!!
n	jawol direkt raus mit kriminellen
n	bedauerlicher Einzelfall????
n	Das gute daran ,dieses pack legt sich selber um
n	Egal woher sie kommen. Straffällige Ausländer gehören RAUS ohne Ausnahme
n	ein nicht mehr wegzudenkender Facharbeiter ?
hs	Diese Drecks Albaner!!  Vor zwei Jahren 2012 haben dieses Mist Schweine Ficker von Albaner einen Freund von mir erschossen wegen Nichts!!!  Die sollen sich alle zurück nach Albanien verpissen und sich dort gegenseitig abknallen!  Drecks Volk!!!  Raus, mit dem Pack!!
n	Sofort abschieben
n	Sofort raus ! Weg damit!
n	der Polizist schaut, als hätte er nen Geist gesehn :D
n	die fehden werden hier ausgetragen, weil die autos dort noch nicht zusammengeschraubt sind
p	Drecks pack
n	Wenigstens machen sie sich gegenseitig alle................
n	was solls ,wenns dadurch weniger vom Pack wird,
n	schade war das auto wohl leider zu langsam!!!!
n	Ihr nervt langsam mit den scheiß
n	Den Zirkus sollen sie in ihrem Land veranstalten
n	Warum hat die Polizei die beiden Serben denn ihren Streit nicht zu Ende führen lassen. Dann hätten wir heute zwei Probleme weniger.
n	wie wärs wenn Ihr euch um euren eigenen Scheiß kümmert? :D
n	Gut gemacht ihr super Regierungspolitiker. Wenn der Staat nicht mehr für die Sicherheit seiner Bürger sorgen kann - dann werden sie es irgendwann selbst in die Hand nehmen. Ihr seid schuld daran, dass die Staatsbürger in diesem Land immer radikaler werden!
n	"Das ist in Deutschland auch so ,aber nur "" Einzeltäter"" lächerlich unsere Politiker"
n	Einzelfälle!!!! warum beschweren die sich? war doch so gewollt wir brauchen doch Facharbeiter
n	Kay . Ich finde die Ausländer, die aus Süd-Osteuropa kommen ganz nett. Ich mag wenn die ein bisschen Action auf der Straße bringen. So hat man keine Langeweile mehr.
n	Wieso nicht 15 jahre,war doch Mord...
n	Siebeneinhalb Jahre für ein Menschenleben...
n	Bedauerlicher Einzelfall-wie immer.
p	Todesstrafe wäre besser,sollte wieder eigeführt werden,
n	In 2 Jahren ist der wieder raus.
n	a witz,nach 5 draussen ! abartige justiz
n	die südländer sind alles kinder , daher milderne umstände, die südis wissen wann die trännendüse aktiviert werden muss.
n	ein moslem hat das recht seine alte kalt zu machen, minderwertig für die, es ist nur eine gebährmaschine für die typen.
n	Lol ja das böse böse kiffen, aber so leute kommen auf freien Fuß,  kann mir keiner erzählen;  daß der solange einsitzt.
n	Mord sollte lebenslang geben, scheissegal wo der freggel herkommt.  Deutsches land, deutsche Gesetze.
n	ach ist doch nur ein Einzelfall,aber warum nicht Lebenslänglich ?
n	Aus Bosnien:  Moslem??   betimmt.
n	Viel zu wenig
p	Ihr Affen seit untergebildet
	Doch es reicht aus um mich beim schlagen eurer Väter zu filmen
	Ihr pedos
n	Ich bin Tierschützer! Aber dieses Gesochs muss raus
n	Einzelfall !!!
n	Die neuen Facharbeiter eben:
p	Warum hängt man Abschaum nicht auf?
p	Ausländer sind alle Dreck
hs	Raus aus deutschland mit diesen Dreckfressen
n	raus mit das pack
n	da wäre ich auch dafür
n	warum ist das so mit den Kreaturen ganz einfach weil das im Deutschen Knast wie ein 5 Sterne-Hotel zu vergleichen ist, die müssten so behandelt weren wo se herkommen ganz einfach
n	Ja, da sind deutsche Polizisten und deutsche Kampfflieger und deutsche Raketenstationen mitten in Tirol, das ist Ausläderkriminalität! Ebenso die - aus meiner Sicht - kriminellen Tagungen, die dieser Tage diese Ausländerkriminalität bedingen!!! Ditie
n	deutschland den deutschen ganz einfach !!!!
n	Wie hießen die deutschen Straftäter in der österreichischen  Kriminalstatistik? Etwa Murat, Ali, Chem und Aiche?
p	????
	Was für hurensöhne
n	zum Thema  https://pbs.twimg.com/media/CIIFWeaW8AAmP34.jpg
n	..Die Frau gab den Beamten zu Protokoll, dass sie von ihrem Gatten wiederholt geschlagen, gewürgt und eingesperrt worden sei. Er soll sie mit Schlägen gezwungen haben,  ---------ein Kopftuch zu tragen----------. .......daher weht der Wind......http://www.kleinezeitung.at/s/steiermark/chronik/4760631/GRAZ_Altes-Gutachten-stufte-Amokfahrer-als-verlaesslich-ein
n	"""Follower"", was ist das?"
n	Erklaert einiges :(
n	na da sind jetzt einige sehr stumm geworden die dies als hetze gesehen haben, traurig !
n	Wo bleiben die Lichterketten und Demonstrationen ? Oder gibt es das nicht fuer diese Opfer ???
p	Ihr Affen seit untergebildet
	Doch es reicht aus um mich beim schlagen eurer Väter zu filmen
n	ja und in drei jahren stellt im ein sogenannter psychologe eine freifahrtschein und er kann wieder durch drehen. sowas wegsperren und zubetonieren
n	Kein Kommentar.....
	Benehmen sich wie Schwein, begehen Straftaten, bekommen keinerlei Konsequenzen...
	Unmöglich.... O.o
n	Mir gefällt nur, dass auch der ehemalige rote Bürgermeister von Graz, Nagl, hautnah miterlebt hat, wie das Gesindel, das er nach Graz geholt hat und gegen das man nicht einmal was sagen darf, sich verhält. Multikulti ist nicht so super, oder Genosse Nagl?
hs	Die asoziale Familie ganz einfach ausrotten.
n	"Typisches Balkangehabe, ......erschuettert mich wenig-ist deren ""Kultur"" die sie stur beibehalten. Der haette auch nie die Sissi aus dem Dorf heiraten wollen, nein da fahr ma in die so schlechte Heimat die man ja verlassen musste und importiert gleich wieder eine .....unfassbar das hier zugesehen wird. Ist m.E. ein Verbrechen was die Behoerden auffuehren....."
n	Ein durchgeknallter Ausländer rechtfertigt keinen pauschalen Ausländerhass.
p	Ihr Affen seit untergebildet
	Doch es reicht aus um mich beim schlagen eurer Väter zu filmen
n	Wer kommt den noch nach Deutschland!
n	Immer schön aufpassen und sehr  wachsam sein.
n	"Was für'n ""religiöser"" Extremismus??"
	
	Islam ist keine Religion und hört endlich auf den wie eine Religion zu behandeln!!
	
	Erkennt dem endlich den Religionsstatus ab, das macht Vieles einfacher!!
p	das ist wie bei den kreuzzügen nur da haben die muselmanen eins auf die eier bekommen. man sollten denen bei der geburt die klöten gleich abschneiden
n	Oh das ist aber was ganz neues!!!!!
n	KeinGlaube wer besser!!
p	es ist unglaublich, wie das Gutdeutschentum immer wieder noch kriminell gewordene Ausländer und Migranten beschützt. Dieser Dreck gehört abgeschoben, notfalls mit harter Hand und eiserner Faust, koste es was es wolle.
n	Mal kurz aufm Punkt gebracht ohne Aggressivität etc
	Wenn wir gehen? Dann nehmen wir alles mit
	Ihr dürft nich in den Ausland denn da seit ihr die Ausländer
	Ihr habt kein Eis, döner, Ferrari,Lamborghini, kein spaghetti, kein vodka, kein obst oder Gemüse das aus dem Ausland kommt , kein i phone ihr habt dann so gut wie gar nix. Schon krass wie Menschen alles glauben was ihnen gesagt wird
p	Wow, wie erwachsen ihr doch alle seit, ihr scheiss Nazis.
